대분류명,소분류명,서비스상태,서비스명,결제방법,장소명,서비스대상,longitude,latitude
체육시설,테니스장,접수중,서남센터 테니스장12번 코트(평일)-수요일만 가능,유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,테니스장,접수중,서남센터 테니스장1번 경로+지역 전용코트(주말/공휴일),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,테니스장,접수중,서남센터 테니스장2번 경로+지역 전용코트(주말/공휴일),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,테니스장,접수중,서남센터 테니스장3번 지역주민 전용코트(주말/공휴일),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,테니스장,접수중,서남센터 테니스장4번 지역주민 전용코트(주말/공휴일),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,테니스장,접수중,서남센터 테니스장5번 코트(주말/공휴일),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,테니스장,접수중,서남센터 테니스장6번 코트(주말/공휴일),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,테니스장,접수중,서남센터 테니스장7번 코트(주말/공휴일),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,테니스장,예약마감,서남센터 테니스장8번 코트(주말/공휴일),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,테니스장,예약마감,서남센터 테니스장9번 코트(주말/공휴일),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,테니스장,예약마감,서남센터 테니스장10번 코트(주말/공휴일),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,테니스장,접수중,서남센터 테니스장11번 코트(주말/공휴일),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,테니스장,접수중,서남센터 테니스장12번 코트(주말/공휴일),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,탁구장,접수중,서남센터 탁구장(1번탁구대),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,축구장,접수중,서남센터 축구장(평일),무료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,탁구장,접수중,서남센터 탁구장(2번탁구대),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,탁구장,접수중,서남센터 탁구장(3번탁구대),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,탁구장,접수중,서남센터 탁구장(4번탁구대),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,골프장,접수중,서남센터 파크골프장(18홀),유료,서남물재생센터, 제한없음,126.82589611618,37.577287681053
체육시설,테니스장,접수중,(2023) 강서구립 방화테니스장,무료,강서구립 방화테니스장, 제한없음,126.81769399103622,37.58378050273963
체육시설,축구장,접수중,(2023) 강서 개화축구장,유료(요금안내문의),강서 개화축구장, 제한없음,126.7876186781504,37.5783570443217
체육시설,풋살장,접수중,(2023)강서 개화 풋살장,유료(요금안내문의),강서 개화축구장>강서 개화풋살장, 제한없음,126.7876648346304,37.57826718920101
체육시설,농구장,접수중,2023년 농구장2-뚝섬한강공원,유료,뚝섬한강공원>농구장 2, 제한없음,127.0771340310736,37.527602986968816
체육시설,농구장,접수중,2023년 농구장3(장애인농구장)-뚝섬한강공원,유료,뚝섬한강공원>농구장 3(장애인농구장), 제한없음,127.07273535443076,37.52863021684605
체육시설,배드민턴장,접수중,2023년 배드민턴장2-뚝섬한강공원(실외),유료,뚝섬한강공원>배드민턴장 2, 제한없음,127.07740464667796,37.527827159278665
체육시설,배드민턴장,접수중,2023년 배드민턴장3-뚝섬한강공원(실외),유료,뚝섬한강공원>배드민턴장 3, 제한없음,127.07747699113824,37.5277694477905
체육시설,족구장,접수중,2023년 족구장2-뚝섬한강공원,유료,뚝섬한강공원>족구장 2, 제한없음,127.07748577997528,37.52751626049641
체육시설,축구장,접수중,2023년 축구장1(잠실대교 방향)-뚝섬한강공원,유료,뚝섬한강공원>축구장 1, 제한없음,127.0764002514537,37.52803684578285
체육시설,축구장,접수중,(야간)2023년 축구장1(잠실대교 방향)-뚝섬한강공원,유료,뚝섬한강공원>축구장 1, 제한없음,127.0764002514537,37.52803684578285
